C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man6_schoolbell.txt
SVNote1
Vocal
Solo
Traditional

0.000000








Sequence,Start time,End time,Duration,Type
1,0.425200,0.548530,0.123330,Sound
2,0.971350,1.411800,0.440450,Sound
3,1.494000,1.975500,0.481500,Sound
4,1.995500,2.410100,0.414600,Sound
5,2.562800,2.973900,0.411100,Sound
6,3.103100,3.520000,0.416900,Sound
7,3.666800,4.342200,0.675400,Sound
8,4.735600,5.170200,0.434600,Sound
9,5.305300,5.745700,0.440400,Sound
10,5.804400,6.280100,0.475700,Sound
11,6.309500,6.785100,0.475600,Sound
12,6.873200,8.176900,1.303700,Sound
13,9.069500,9.416000,0.346500,Sound
14,9.551100,10.044000,0.492900,Sound
15,10.080000,10.579000,0.499000,Sound
16,10.608000,11.101000,0.493000,Sound
17,11.178000,11.677000,0.499000,Sound
18,11.753000,12.211000,0.458000,Sound
19,12.258000,12.840000,0.582000,Sound
20,13.327000,13.773000,0.446000,Sound
21,13.844000,14.325000,0.481000,Sound
22,14.325000,14.789000,0.464000,Sound
23,14.895000,15.341000,0.446000,Sound
24,15.424000,16.569000,1.145000,Sound
25,17.567000,17.726000,0.159000,Sound
26,18.101000,18.524000,0.423000,Sound
27,18.601000,19.053000,0.452000,Sound
28,19.082000,19.482000,0.400000,Sound
29,19.628000,20.069000,0.441000,Sound
30,20.163000,20.586000,0.423000,Sound
31,20.709000,21.331000,0.622000,Sound
32,21.778000,22.200000,0.422000,Sound
33,22.318000,22.735000,0.417000,Sound
34,22.805000,23.322000,0.517000,Sound
35,23.322000,23.780000,0.458000,Sound
36,23.886000,25.178000,1.292000,Sound
37,26.035000,26.487000,0.452000,Sound
38,26.487000,26.975000,0.488000,Sound
39,27.051000,27.327000,0.276000,Sound
40,27.586000,28.079000,0.493000,Sound
41,28.079000,28.607000,0.528000,Sound
42,28.607000,29.136000,0.529000,Sound
43,29.189000,29.706000,0.517000,Sound
44,30.263000,30.733000,0.470000,Sound
45,30.798000,31.162000,0.364000,Sound
46,31.274000,31.720000,0.446000,Sound
47,31.784000,32.237000,0.453000,Sound
48,32.313000,33.523000,1.210000,Sound
