C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man6_1_butterfly.txt
SVNote1
Vocal
Solo
Traditional

0.000000








Sequence,Start time,End time,Duration,Type
1,2.945100,3.485400,0.540300,Sound
2,3.551200,4.012400,0.461200,Sound
3,4.012400,4.783200,0.770800,Sound
4,5.165300,5.679200,0.513900,Sound
5,5.731900,6.226000,0.494100,Sound
6,6.272200,6.917800,0.645600,Sound
7,7.392100,7.932400,0.540300,Sound
8,7.932400,8.433100,0.500700,Sound
9,8.498900,9.052300,0.553400,Sound
10,9.078700,9.566200,0.487500,Sound
11,9.651900,10.139000,0.487100,Sound
12,10.199000,10.719000,0.520000,Sound
13,10.719000,11.299000,0.580000,Sound
14,11.885000,12.327000,0.442000,Sound
15,12.327000,12.900000,0.573000,Sound
16,12.900000,13.427000,0.527000,Sound
17,13.473000,13.967000,0.494000,Sound
18,14.020000,14.540000,0.520000,Sound
19,14.540000,15.113000,0.573000,Sound
20,15.153000,15.746000,0.593000,Sound
21,16.392000,16.866000,0.474000,Sound
22,16.919000,17.373000,0.454000,Sound
23,17.518000,18.006000,0.488000,Sound
24,18.065000,18.559000,0.494000,Sound
25,18.599000,19.112000,0.513000,Sound
26,19.159000,19.686000,0.527000,Sound
27,19.725000,20.213000,0.488000,Sound
28,20.852000,21.346000,0.494000,Sound
29,21.418000,21.945000,0.527000,Sound
30,21.945000,22.479000,0.534000,Sound
31,22.505000,22.934000,0.429000,Sound
32,23.065000,23.520000,0.455000,Sound
33,23.566000,23.843000,0.277000,Sound
34,24.087000,24.633000,0.546000,Sound
35,25.174000,25.760000,0.586000,Sound
36,25.839000,26.056000,0.217000,Sound
37,26.267000,26.755000,0.488000,Sound
38,26.807000,27.236000,0.429000,Sound
39,27.348000,27.736000,0.388000,Sound
40,27.901000,28.369000,0.468000,Sound
41,28.408000,28.955000,0.547000,Sound
42,29.522000,29.924000,0.402000,Sound
43,30.049000,30.523000,0.474000,Sound
44,30.609000,31.156000,0.547000,Sound
45,31.623000,31.821000,0.198000,Sound
46,32.150000,32.388000,0.238000,Sound
47,32.704000,33.211000,0.507000,Sound
48,33.699000,34.199000,0.500000,Sound
49,34.199000,34.693000,0.494000,Sound
50,34.786000,35.207000,0.421000,Sound
51,35.260000,35.748000,0.488000,Sound
52,35.892000,36.275000,0.383000,Sound
53,36.433000,36.854000,0.421000,Sound
54,36.900000,37.737000,0.837000,Sound
