C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\sanghee\woman2_schoolbell.txt
SVNote1
Vocal
Solo
Traditional

0.000000








Sequence,Start time,End time,Duration,Type
1,2.964500,3.196100,0.231600,Sound
2,3.467700,3.914300,0.446600,Sound
3,4.002400,4.464700,0.462300,Sound
4,4.484700,4.863100,0.378400,Sound
5,4.977400,5.329600,0.352200,Sound
6,5.485900,5.853800,0.367900,Sound
7,6.020600,6.514300,0.493700,Sound
8,7.084700,7.494500,0.409800,Sound
9,7.614100,8.044900,0.430800,Sound
10,8.101600,8.542900,0.441300,Sound
11,8.594300,9.019900,0.425600,Sound
12,9.144700,9.953000,0.808300,Sound
13,11.137000,11.552000,0.415000,Sound
14,11.650000,12.107000,0.457000,Sound
15,12.164000,12.584000,0.420000,Sound
16,12.657000,13.124000,0.467000,Sound
17,13.144000,13.586000,0.442000,Sound
18,13.606000,14.068000,0.462000,Sound
19,14.146000,14.566000,0.420000,Sound
20,15.183000,15.651000,0.468000,Sound
21,15.713000,16.165000,0.452000,Sound
22,16.216000,16.600000,0.384000,Sound
23,16.751000,17.166000,0.415000,Sound
24,17.207000,18.083000,0.876000,Sound
25,19.346000,19.588000,0.242000,Sound
26,19.833000,20.259000,0.426000,Sound
27,20.362000,20.772000,0.410000,Sound
28,20.855000,21.165000,0.310000,Sound
29,21.337000,21.585000,0.248000,Sound
30,21.814000,22.083000,0.269000,Sound
31,22.328000,22.759000,0.431000,Sound
32,23.350000,23.776000,0.426000,Sound
33,23.896000,24.295000,0.399000,Sound
34,24.393000,24.824000,0.431000,Sound
35,24.844000,25.307000,0.463000,Sound
36,25.416000,26.192000,0.776000,Sound
37,27.602000,28.022000,0.420000,Sound
38,28.068000,28.494000,0.426000,Sound
39,28.577000,28.850000,0.273000,Sound
40,29.022000,29.553000,0.531000,Sound
41,29.573000,29.998000,0.425000,Sound
42,30.055000,30.470000,0.415000,Sound
43,30.542000,30.968000,0.426000,Sound
44,31.549000,32.006000,0.457000,Sound
45,32.052000,32.436000,0.384000,Sound
46,32.576000,33.038000,0.462000,Sound
47,33.100000,33.484000,0.384000,Sound
48,33.619000,34.407000,0.788000,Sound
