C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\sanghee\woman3_butterfly.txt
SVNote1
Vocal
Solo
Traditional

0.000000








Sequence,Start time,End time,Duration,Type
1,1.181000,1.493200,0.312200,Sound
2,1.555200,1.959900,0.404700,Sound
3,2.013500,2.422400,0.408900,Sound
4,2.728300,3.103500,0.375200,Sound
5,3.152900,3.553400,0.400500,Sound
6,3.598600,3.898100,0.299500,Sound
7,4.389000,4.755900,0.366900,Sound
8,4.801100,5.159500,0.358400,Sound
9,5.200500,5.537900,0.337400,Sound
10,5.599900,5.895300,0.295400,Sound
11,5.986700,6.336700,0.350000,Sound
12,6.377800,6.765600,0.387800,Sound
13,6.785600,7.181800,0.396200,Sound
14,7.693800,8.069000,0.375200,Sound
15,8.089000,8.464200,0.375200,Sound
16,8.501000,8.914100,0.413100,Sound
17,8.950900,9.347200,0.396300,Sound
18,9.367200,9.763400,0.396200,Sound
19,9.812800,10.171000,0.358200,Sound
20,10.212000,10.579000,0.367000,Sound
21,11.146000,11.504000,0.358000,Sound
22,11.562000,11.836000,0.274000,Sound
23,11.995000,12.328000,0.333000,Sound
24,12.390000,12.765000,0.375000,Sound
25,12.844000,13.177000,0.333000,Sound
26,13.231000,13.598000,0.367000,Sound
27,13.643000,13.981000,0.338000,Sound
28,14.522000,14.847000,0.325000,Sound
29,14.951000,15.334000,0.383000,Sound
30,15.380000,15.793000,0.413000,Sound
31,15.850000,16.158000,0.308000,Sound
32,16.300000,16.667000,0.367000,Sound
33,16.687000,16.936000,0.249000,Sound
34,17.116000,17.466000,0.350000,Sound
35,17.936000,18.303000,0.367000,Sound
36,18.365000,18.563000,0.198000,Sound
37,18.777000,19.051000,0.274000,Sound
38,19.189000,19.425000,0.236000,Sound
39,19.614000,19.930000,0.316000,Sound
40,20.051000,20.363000,0.312000,Sound
41,20.417000,20.754000,0.337000,Sound
42,21.211000,21.511000,0.300000,Sound
43,21.636000,21.969000,0.333000,Sound
44,22.048000,22.444000,0.396000,Sound
45,22.880000,23.121000,0.241000,Sound
46,23.326000,23.525000,0.199000,Sound
47,23.747000,24.025000,0.278000,Sound
48,24.529000,24.925000,0.396000,Sound
49,24.945000,25.286000,0.341000,Sound
50,25.357000,25.665000,0.308000,Sound
51,25.714000,26.022000,0.308000,Sound
52,26.177000,26.468000,0.291000,Sound
53,26.606000,26.930000,0.324000,Sound
54,26.950000,27.401000,0.451000,Sound
