C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\sanghee\man6_1_butterfly.txt
SVNote1
Vocal
Solo
Traditional

0.000000








Sequence,Start time,End time,Duration,Type
1,2.968800,3.496000,0.527200,Sound
2,3.561600,4.043300,0.481700,Sound
3,4.091800,4.784400,0.692600,Sound
4,5.197700,5.673700,0.476000,Sound
5,5.773500,6.226700,0.453200,Sound
6,6.343600,6.939300,0.595700,Sound
7,7.381100,7.936900,0.555800,Sound
8,7.956900,8.444200,0.487300,Sound
9,8.498400,9.054200,0.555800,Sound
10,9.102700,9.595800,0.493100,Sound
11,9.667100,10.166000,0.498900,Sound
12,10.237000,10.707000,0.470000,Sound
13,10.779000,11.323000,0.544000,Sound
14,11.890000,12.332000,0.442000,Sound
15,12.352000,12.896000,0.544000,Sound
16,12.916000,13.438000,0.522000,Sound
17,13.504000,14.008000,0.504000,Sound
18,14.046000,14.550000,0.504000,Sound
19,14.570000,15.114000,0.544000,Sound
20,15.180000,15.735000,0.555000,Sound
21,16.400000,16.887000,0.487000,Sound
22,16.907000,17.372000,0.465000,Sound
23,17.511000,18.004000,0.493000,Sound
24,18.070000,18.580000,0.510000,Sound
25,18.657000,19.127000,0.470000,Sound
26,19.182000,19.692000,0.510000,Sound
27,19.740000,20.228000,0.488000,Sound
28,20.858000,21.339000,0.481000,Sound
29,21.416000,21.944000,0.528000,Sound
30,21.964000,22.491000,0.527000,Sound
31,22.539000,22.941000,0.402000,Sound
32,23.087000,23.545000,0.458000,Sound
33,23.600000,23.842000,0.242000,Sound
34,24.153000,24.646000,0.493000,Sound
35,25.179000,25.786000,0.607000,Sound
36,25.806000,26.088000,0.282000,Sound
37,26.279000,26.766000,0.487000,Sound
38,26.786000,27.262000,0.476000,Sound
39,27.328000,27.753000,0.425000,Sound
40,27.921000,28.385000,0.464000,Sound
41,28.405000,28.967000,0.562000,Sound
42,29.534000,29.930000,0.396000,Sound
43,30.070000,30.529000,0.459000,Sound
44,30.617000,31.173000,0.556000,Sound
45,31.638000,31.863000,0.225000,Sound
46,32.162000,32.364000,0.202000,Sound
47,32.687000,33.225000,0.538000,Sound
48,33.696000,34.166000,0.470000,Sound
49,34.249000,34.719000,0.470000,Sound
50,34.813000,35.232000,0.419000,Sound
51,35.252000,35.733000,0.481000,Sound
52,35.902000,36.286000,0.384000,Sound
53,36.438000,36.857000,0.419000,Sound
54,36.911000,37.752000,0.841000,Sound
