C:\Datasets\Onset Annotation\Erkomaishvili Dataset\Behnam New\Settings 11\New folder\Artemi_-_Peristsvalebis_IXdzlispiris_Chaartavi.csv
Behnam
Erkomaishvili
Vocal
Solo
None
Unaffected
0.000000







Sequence,Start time,End time,Duration,Type
1,0.000000,0.487619,0.487619,Silent
2,0.510839,0.534059,0.023220,Transition
3,0.557279,1.253878,0.696599,Silent
4,1.277098,1.300317,0.023220,Transition
5,1.323537,1.880816,0.557279,Sound
6,1.904036,1.927256,0.023220,Transition
7,1.950476,2.647075,0.696599,Sound
8,2.670295,2.693515,0.023220,Transition
9,2.716735,2.879274,0.162540,Sound
10,2.902494,2.972154,0.069660,Transition
11,2.995374,3.599093,0.603719,Sound
12,3.622313,3.645533,0.023220,Transition
13,3.668753,3.924172,0.255420,Sound
14,3.947392,4.063492,0.116100,Transition
15,4.086712,4.156372,0.069660,Sound
16,4.179592,4.249252,0.069660,Silent
17,4.272472,4.295692,0.023220,Transition
18,4.318912,4.574331,0.255420,Sound
19,4.597551,4.620771,0.023220,Transition
20,4.643991,5.921088,1.277098,Silent
21,5.944308,5.967528,0.023220,Transition
22,5.990748,6.362268,0.371519,Sound
23,6.385488,6.617687,0.232200,Transition
24,6.640907,7.267846,0.626939,Sound
25,7.291066,7.430385,0.139320,Transition
26,7.453605,7.453605,0.000000,Sound
27,7.476825,7.569705,0.092880,Transition
28,7.592925,7.685805,0.092880,Sound
29,7.709025,7.732245,0.023220,Transition
30,7.755465,8.846803,1.091338,Sound
31,8.870023,8.893243,0.023220,Transition
32,8.916463,9.218322,0.301859,Sound
33,9.241542,9.357642,0.116100,Transition
34,9.380862,9.404082,0.023220,Sound
35,9.427302,10.007800,0.580498,Sound
36,10.031020,10.123900,0.092880,Transition
37,10.147120,10.193560,0.046440,Sound
38,10.216780,10.286440,0.069660,Transition
39,10.309660,10.634740,0.325080,Sound
40,10.657960,10.750840,0.092880,Transition
41,10.774060,11.006260,0.232200,Sound
42,11.029480,11.145580,0.116100,Transition
43,11.168800,11.238460,0.069660,Sound
44,11.261680,11.911840,0.650160,Silent
45,11.935060,11.958280,0.023220,Transition
46,11.981500,12.794200,0.812700,Sound
47,12.817420,12.910300,0.092880,Transition
48,12.933520,12.979960,0.046440,Sound
49,13.003180,13.049620,0.046440,Transition
50,13.072830,14.117730,1.044900,Sound
51,14.140950,14.210610,0.069660,Transition
52,14.233830,14.326710,0.092880,Sound
53,14.349930,14.419590,0.069660,Transition
54,14.442810,14.837550,0.394740,Sound
55,14.860770,14.976870,0.116100,Transition
56,15.000090,15.162630,0.162540,Sound
57,15.185850,15.255510,0.069660,Transition
58,15.278730,15.418050,0.139320,Sound
59,15.441270,15.557370,0.116100,Transition
60,15.580590,15.673470,0.092880,Sound
61,15.696690,16.114650,0.417960,Silent
62,16.137870,16.161090,0.023220,Transition
63,16.184310,16.416510,0.232200,Sound
64,16.439730,16.579050,0.139320,Transition
65,16.602270,17.484630,0.882360,Sound
66,17.507850,17.577510,0.069660,Transition
67,17.600730,18.250880,0.650150,Sound
68,18.274100,18.320540,0.046440,Transition
69,18.343760,18.947480,0.603720,Sound
70,18.970700,19.063580,0.092880,Transition
71,19.086800,19.435100,0.348300,Sound
72,19.458320,19.527980,0.069660,Transition
73,19.551200,19.783400,0.232200,Sound
74,19.806620,19.899500,0.092880,Transition
75,19.922720,20.108480,0.185760,Sound
76,20.131700,20.201360,0.069660,Transition
77,20.224580,20.410340,0.185760,Sound
78,20.433560,20.596100,0.162540,Transition
79,20.619320,20.851520,0.232200,Sound
80,20.874740,20.897960,0.023220,Transition
81,20.921180,21.524900,0.603720,Sound
82,21.548120,21.617780,0.069660,Transition
83,21.641000,21.896420,0.255420,Silent
84,21.919640,21.942860,0.023220,Transition
85,21.966080,22.175060,0.208980,Sound
86,22.198280,22.267940,0.069660,Transition
87,22.291160,22.709120,0.417960,Sound
88,22.732340,22.778780,0.046440,Transition
89,22.802000,25.565170,2.763170,Sound
90,25.588390,25.681270,0.092880,Transition
91,25.704490,25.843810,0.139320,Sound
92,25.867030,25.913470,0.046440,Transition
93,25.936690,26.099230,0.162540,Sound
94,26.122450,26.192110,0.069660,Transition
95,26.215330,26.935150,0.719820,Sound
96,26.958370,27.004810,0.046440,Transition
97,27.028030,27.353110,0.325080,Sound
98,27.376330,27.469210,0.092880,Transition
99,27.492430,28.421220,0.928790,Sound
100,28.444440,28.490880,0.046440,Transition
101,28.514100,28.885620,0.371520,Sound
102,28.908840,28.955280,0.046440,Transition
103,28.978500,29.210700,0.232200,Sound
104,29.233920,29.303580,0.069660,Transition
105,29.326800,29.814420,0.487620,Sound
106,29.837640,29.860860,0.023220,Transition
107,29.884080,30.371700,0.487620,Sound
108,30.394920,30.464580,0.069660,Transition
109,30.487800,30.720000,0.232200,Sound
110,30.743220,30.812880,0.069660,Transition
111,30.836100,31.091520,0.255420,Sound
112,31.114740,31.207620,0.092880,Transition
113,31.230840,32.507940,1.277100,Sound
114,32.531160,32.554380,0.023220,Transition
115,32.577600,32.809800,0.232200,Sound
116,32.833020,32.902680,0.069660,Transition
117,32.925900,33.181320,0.255420,Sound
118,33.204540,33.274200,0.069660,Transition
119,33.297420,33.576050,0.278630,Sound
120,33.599270,33.668930,0.069660,Transition
121,33.692150,33.877910,0.185760,Sound
122,33.901130,33.924350,0.023220,Transition
123,33.947570,34.133330,0.185760,Sound
124,34.156550,34.179770,0.023220,Transition
125,34.202990,35.015690,0.812700,Sound
126,35.038910,35.108570,0.069660,Transition
127,35.131790,35.294330,0.162540,Sound
128,35.317550,35.410430,0.092880,Transition
129,35.433650,35.433650,0.000000,Sound
130,35.456870,35.549750,0.092880,Transition
131,35.572970,36.362450,0.789480,Sound
132,36.385670,36.408890,0.023220,Transition
133,36.432110,36.664310,0.232200,Sound
134,36.687530,36.710750,0.023220,Transition
135,36.733970,36.919730,0.185760,Sound
136,36.942950,37.128710,0.185760,Transition
137,37.151930,37.755650,0.603720,Sound
138,37.778870,37.894970,0.116100,Transition
139,37.918190,38.568350,0.650160,Sound
140,38.591570,38.614790,0.023220,Transition
141,38.638010,39.172060,0.534050,Sound
142,39.195280,39.218500,0.023220,Transition
143,39.241720,40.170520,0.928800,Sound
144,40.193740,40.240180,0.046440,Transition
145,40.263400,40.890340,0.626940,Sound
146,40.913560,40.960000,0.046440,Transition
147,40.983220,41.540500,0.557280,Silent
148,41.563720,41.586940,0.023220,Transition
149,41.610160,41.842360,0.232200,Silent
150,41.865580,41.888800,0.023220,Transition
151,41.912020,42.492520,0.580500,Sound
152,42.515740,42.538960,0.023220,Transition
153,42.562180,43.816050,1.253870,Sound
154,43.839270,43.955370,0.116100,Transition
155,43.978590,44.164350,0.185760,Sound
156,44.187570,44.210790,0.023220,Transition
157,44.234010,44.698410,0.464400,Sound
158,44.721630,44.744850,0.023220,Transition
159,44.768070,45.116370,0.348300,Sound
160,45.139590,45.162810,0.023220,Transition
161,45.186030,46.161270,0.975240,Sound
162,46.184490,46.277370,0.092880,Transition
163,46.300590,46.625670,0.325080,Sound
164,46.648890,46.695330,0.046440,Transition
165,46.718550,46.788210,0.069660,Silent
166,46.811430,46.834650,0.023220,Transition
167,46.857870,47.206170,0.348300,Sound
168,47.229390,47.299050,0.069660,Transition
169,47.322270,47.949210,0.626940,Sound
170,47.972430,48.088530,0.116100,Transition
171,48.111750,48.274290,0.162540,Sound
172,48.297510,48.413610,0.116100,Transition
173,48.436830,48.483270,0.046440,Silent
174,48.506490,48.529710,0.023220,Transition
175,48.552930,49.179860,0.626930,Sound
176,49.203080,49.249520,0.046440,Transition
177,49.272740,50.247980,0.975240,Sound
178,50.271200,50.294420,0.023220,Transition
