C:\Datasets\Onset Annotation\Erkomaishvili Dataset\Behnam New\Settings 11\New folder\Artemi_-_Sastsaulit_Ikhsna_Eri_Tvisi_Upalma.csv
Behnam
Erkomaishvili
Vocal
Solo
None
Unaffected
0.000000







Sequence,Start time,End time,Duration,Type
1,0.000000,0.092880,0.092880,Silent
2,0.116100,0.139320,0.023220,Transition
3,0.162540,0.394739,0.232200,Sound
4,0.417959,0.441179,0.023220,Transition
5,0.464399,0.673379,0.208980,Sound
6,0.696599,0.719819,0.023220,Transition
7,0.743039,1.207438,0.464399,Silent
8,1.230658,1.253878,0.023220,Transition
9,1.277098,1.625397,0.348299,Sound
10,1.648617,1.695057,0.046440,Transition
11,1.718277,1.834376,0.116100,Sound
12,1.857596,1.880816,0.023220,Transition
13,1.904036,2.066576,0.162540,Sound
14,2.089796,2.136236,0.046440,Transition
15,2.159456,2.438095,0.278639,Sound
16,2.461315,2.600635,0.139320,Transition
17,2.623855,3.181134,0.557279,Sound
18,3.204354,3.320454,0.116100,Transition
19,3.343673,3.459773,0.116100,Sound
20,3.482993,3.622313,0.139320,Sound
21,3.645533,3.691973,0.046440,Transition
22,3.715193,3.947392,0.232200,Silent
23,3.970612,3.993832,0.023220,Transition
24,4.017052,5.247710,1.230658,Sound
25,5.270930,5.294150,0.023220,Transition
26,5.317370,8.080544,2.763175,Silent
27,8.103764,8.126984,0.023220,Transition
28,8.150204,8.684263,0.534059,Sound
29,8.707483,8.823583,0.116100,Transition
30,8.846803,9.868481,1.021678,Sound
31,9.891701,9.961361,0.069660,Transition
32,9.984580,10.820500,0.835920,Sound
33,10.843720,10.913380,0.069660,Transition
34,10.936600,11.261680,0.325080,Sound
35,11.284900,11.401000,0.116100,Transition
36,11.424220,11.540320,0.116100,Sound
37,11.563540,11.888620,0.325080,Sound
38,11.911840,11.981500,0.069660,Transition
39,12.004720,12.979960,0.975240,Sound
40,13.003180,13.119270,0.116090,Transition
41,13.142490,13.514010,0.371520,Sound
42,13.537230,13.606890,0.069660,Transition
43,13.630110,13.908750,0.278640,Sound
44,13.931970,14.001630,0.069660,Transition
45,14.024850,14.326710,0.301860,Sound
46,14.349930,14.466030,0.116100,Transition
47,14.489250,14.558910,0.069660,Sound
48,14.582130,14.721450,0.139320,Transition
49,14.744670,15.603810,0.859140,Silent
50,15.627030,15.650250,0.023220,Transition
51,15.673470,16.137870,0.464400,Sound
52,16.161090,16.253970,0.092880,Transition
53,16.277190,16.300410,0.023220,Silent
54,16.323630,16.393290,0.069660,Transition
55,16.416510,16.625490,0.208980,Sound
56,16.648710,16.764810,0.116100,Transition
57,16.788030,16.880910,0.092880,Sound
58,16.904130,17.322090,0.417960,Silent
59,17.345310,17.391750,0.046440,Transition
60,17.414970,17.693610,0.278640,Sound
61,17.716830,17.809710,0.092880,Transition
62,17.832930,18.204440,0.371510,Sound
63,18.227660,18.274100,0.046440,Transition
64,18.297320,18.552740,0.255420,Sound
65,18.575960,18.668840,0.092880,Transition
66,18.692060,18.692060,0.000000,Sound
67,18.715280,18.738500,0.023220,Transition
68,18.761720,19.667300,0.905580,Sound
69,19.690520,19.783400,0.092880,Transition
70,19.806620,19.806620,0.000000,Sound
71,19.829840,19.853060,0.023220,Transition
72,19.876280,20.456780,0.580500,Sound
73,20.480000,20.549660,0.069660,Transition
74,20.572880,21.455240,0.882360,Sound
75,21.478460,21.524900,0.046440,Transition
76,21.548120,22.337600,0.789480,Sound
77,22.360820,22.384040,0.023220,Transition
78,22.407260,22.662680,0.255420,Sound
79,22.685900,22.802000,0.116100,Transition
80,22.825220,23.150300,0.325080,Sound
81,23.173520,23.243180,0.069660,Transition
82,23.266400,23.777230,0.510830,Sound
83,23.800450,23.916550,0.116100,Transition
84,23.939770,23.986210,0.046440,Sound
85,24.009430,24.752470,0.743040,Sound
86,24.775690,24.845350,0.069660,Transition
87,24.868570,25.216870,0.348300,Sound
88,25.240090,25.356190,0.116100,Transition
89,25.379410,25.681270,0.301860,Sound
90,25.704490,25.820590,0.116100,Transition
91,25.843810,25.959910,0.116100,Sound
92,25.983130,26.099230,0.116100,Sound
93,26.122450,26.215330,0.092880,Transition
94,26.238550,26.493970,0.255420,Sound
95,26.517190,26.610070,0.092880,Transition
96,26.633290,27.260230,0.626940,Sound
97,27.283450,27.422770,0.139320,Transition
98,27.445990,27.492430,0.046440,Sound
99,27.515650,28.142590,0.626940,Silent
100,28.165810,28.189030,0.023220,Transition
101,28.212250,28.932060,0.719810,Sound
102,28.955280,29.048160,0.092880,Transition
103,29.071380,29.512560,0.441180,Sound
104,29.535780,29.582220,0.046440,Transition
105,29.605440,29.675100,0.069660,Sound
106,29.698320,29.791200,0.092880,Transition
107,29.814420,30.000180,0.185760,Sound
108,30.023400,30.069840,0.046440,Transition
109,30.093060,30.464580,0.371520,Sound
110,30.487800,30.580680,0.092880,Transition
111,30.603900,30.627120,0.023220,Sound
112,30.650340,30.720000,0.069660,Transition
113,30.743220,31.300500,0.557280,Sound
114,31.323720,31.416600,0.092880,Transition
115,31.439820,31.532700,0.092880,Sound
116,31.555920,31.602360,0.046440,Transition
117,31.625580,31.788120,0.162540,Sound
118,31.811340,31.881000,0.069660,Transition
119,31.904220,32.206080,0.301860,Sound
120,32.229300,32.298960,0.069660,Transition
121,32.322180,32.577600,0.255420,Sound
122,32.600820,32.624040,0.023220,Transition
123,32.647260,33.042000,0.394740,Sound
124,33.065220,33.134880,0.069660,Transition
125,33.158100,33.459960,0.301860,Sound
126,33.483180,33.576050,0.092870,Transition
127,33.599270,34.202990,0.603720,Sound
128,34.226210,34.295870,0.069660,Transition
129,34.319090,35.085350,0.766260,Sound
130,35.108570,35.178230,0.069660,Transition
131,35.201450,35.642630,0.441180,Silent
132,35.665850,35.689070,0.023220,Transition
133,35.712290,35.828390,0.116100,Silent
134,35.851610,35.944490,0.092880,Transition
135,35.967710,36.176690,0.208980,Sound
