C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\woman2_twinkle.txt
SVNote1
Vocal
Solo
Traditional

0








Sequence,Start time,End time,Duration,Type
1,3.0687,3.423366667,0.354666667,Sound
2,3.619366667,3.9263,0.306933333,Sound
3,4.162133333,4.520866667,0.358733333,Sound
4,4.698466667,5.010066667,0.3116,Sound
5,5.229633333,5.687133333,0.4575,Sound
6,5.740233333,6.2095,0.469266667,Sound
7,6.2938,6.858266667,0.564466667,Sound
8,7.438866667,7.9549,0.516033333,Sound
9,7.9857,8.4761,0.4904,Sound
10,8.524566667,8.7838,0.259233333,Sound
11,9.0756,9.540033333,0.464433333,Sound
12,9.6576,9.920666667,0.263066667,Sound
13,10.18966667,10.67133333,0.481666667,Sound
14,10.72566667,11.183,0.457333333,Sound
15,11.901,12.19033333,0.289333333,Sound
16,12.45066667,12.777,0.326333333,Sound
17,13.01733333,13.52066667,0.503333333,Sound
18,13.55833333,14.093,0.534666667,Sound
19,14.11866667,14.58266667,0.464,Sound
20,14.673,15.208,0.535,Sound
21,15.264,15.72833333,0.464333333,Sound
22,16.415,16.80133333,0.386333333,Sound
23,16.96433333,17.26433333,0.3,Sound
24,17.52866667,18.05333333,0.524666667,Sound
25,18.10866667,18.60966667,0.501,Sound
26,18.64633333,19.11333333,0.467,Sound
27,19.21033333,19.699,0.488666667,Sound
28,19.78566667,20.262,0.476333333,Sound
29,20.94333333,21.32833333,0.385,Sound
30,21.49366667,21.777,0.283333333,Sound
31,22.031,22.396,0.365,Sound
32,22.58666667,22.92,0.333333333,Sound
33,23.13033333,23.614,0.483666667,Sound
34,23.67633333,24.15566667,0.479333333,Sound
35,24.216,24.792,0.576,Sound
36,25.356,25.889,0.533,Sound
37,25.91133333,26.39133333,0.48,Sound
38,26.44766667,26.721,0.273333333,Sound
39,26.98666667,27.44933333,0.462666667,Sound
40,27.55366667,27.884,0.330333333,Sound
41,28.12233333,28.626,0.503666667,Sound
42,28.69066667,29.307,0.616333333,Sound
