C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man2_schoolbell.txt
SVNote1
Vocal
Solo
Traditional

0








Sequence,Start time,End time,Duration,Type
1,0.354813333,0.620333333,0.26552,Sound
2,0.860966667,1.303633333,0.442666667,Sound
3,1.382833333,1.826933333,0.4441,Sound
4,1.8807,2.214866667,0.334166667,Sound
5,2.328466667,2.722,0.393533333,Sound
6,2.8123,3.213433333,0.401133333,Sound
7,3.2949,3.876866667,0.581966667,Sound
8,4.2368,4.662466667,0.425666667,Sound
9,4.7761,5.144166667,0.368066667,Sound
10,5.210133333,5.633333333,0.4232,Sound
11,5.669466667,6.075466667,0.406,Sound
12,6.189333333,7.3198,1.130466667,Sound
13,7.956366667,8.273566667,0.3172,Sound
14,8.369266667,8.805266667,0.436,Sound
15,8.922466667,9.3426,0.420133333,Sound
16,9.366633333,9.801133333,0.4345,Sound
17,9.849133333,10.28733333,0.4382,Sound
18,10.32533333,10.72633333,0.401,Sound
19,10.78766667,11.3,0.512333333,Sound
20,11.695,12.116,0.421,Sound
21,12.17733333,12.61933333,0.442,Sound
22,12.67866667,13.00833333,0.329666667,Sound
23,13.14566667,13.54733333,0.401666667,Sound
24,13.60466667,14.69133333,1.086666667,Sound
25,15.49133333,15.72466667,0.233333333,Sound
26,15.91466667,16.35433333,0.439666667,Sound
27,16.41333333,16.81533333,0.402,Sound
28,16.877,17.22733333,0.350333333,Sound
29,17.37633333,17.75733333,0.381,Sound
30,17.846,18.228,0.382,Sound
31,18.33066667,18.87933333,0.548666667,Sound
32,19.288,19.65533333,0.367333333,Sound
33,19.77533333,20.17333333,0.398,Sound
34,20.21666667,20.60866667,0.392,Sound
35,20.689,21.07166667,0.382666667,Sound
36,21.19433333,22.35833333,1.164,Sound
37,22.94333333,23.40266667,0.459333333,Sound
38,23.42866667,23.81266667,0.384,Sound
39,23.876,24.16933333,0.293333333,Sound
40,24.33666667,24.76366667,0.427,Sound
41,24.83533333,25.24533333,0.41,Sound
42,25.27966667,25.72733333,0.447666667,Sound
43,25.81366667,26.28033333,0.466666667,Sound
44,26.69,27.09333333,0.403333333,Sound
45,27.154,27.509,0.355,Sound
46,27.63,28.034,0.404,Sound
47,28.07533333,28.49866667,0.423333333,Sound
48,28.608,29.58066667,0.972666667,Sound
