C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\woman1_butterfly.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,2.5637,2.9703,0.4066,Sound,,1,2.5498,3.0237,0.4739,Sound,,1,2.5436,2.9765,0.4329,Sound,,2.552366667,2.990166667,0.4378
2,3.0212,3.4074,0.3862,Sound,,2,3.0237,3.4274,0.4037,Sound,,2,3.0229,3.4515,0.4286,Sound,,3.0226,3.428766667,0.406166667
3,3.4074,4.0021,0.5947,Sound,,3,3.4256,3.9846,0.559,Sound,,3,3.4115,3.988,0.5765,Sound,,3.414833333,3.991566667,0.576733333
4,4.2613,4.6933,0.432,Sound,,4,4.261,4.6954,0.4344,Sound,,4,4.2719,4.6917,0.4198,Sound,,4.264733333,4.693466667,0.428733333
5,4.7594,5.1253,0.3659,Sound,,5,4.7393,5.1913,0.452,Sound,,5,4.7512,5.215,0.4638,Sound,,4.749966667,5.1772,0.427233333
6,5.1253,5.598,0.4727,Sound,,6,5.1532,5.6344,0.4812,Sound,,6,5.205,5.6196,0.4146,Sound,,5.161166667,5.617333333,0.456166667
7,5.9893,6.3705,0.3812,Sound,,7,5.9767,6.376,0.3993,Sound,,7,5.9738,6.3804,0.4066,Sound,,5.979933333,6.375633333,0.3957
8,6.4213,6.7974,0.3761,Sound,,8,6.4023,6.8103,0.408,Sound,,8,6.4004,6.807,0.4066,Sound,,6.408,6.8049,0.3969
9,6.7974,7.2396,0.4422,Sound,,9,6.8279,7.2579,0.43,Sound,,9,6.8534,7.238,0.3846,Sound,,6.826233333,7.245166667,0.418933333
10,7.2396,7.6309,0.3913,Sound,,10,7.2579,7.6484,0.3905,Sound,,10,7.258,7.647,0.389,Sound,,7.251833333,7.6421,0.390266667
11,7.6309,8.0985,0.4676,Sound,,11,7.7252,8.1025,0.3773,Sound,,11,7.7286,8.1,0.3714,Sound,,7.6949,8.100333333,0.405433333
12,8.1493,8.5153,0.366,Sound,,12,8.1311,8.5194,0.3883,Sound,,12,8.12,8.487,0.367,Sound,,8.133466667,8.507233333,0.373766667
13,8.5153,8.9015,0.3862,Sound,,13,8.5194,8.9099,0.3905,Sound,,13,8.5421,8.9048,0.3627,Sound,,8.5256,8.9054,0.3798
14,9.4174,9.8138,0.3964,Sound,,14,9.4167,9.816,0.3993,Sound,,14,9.4393,9.8195,0.3802,Sound,,9.424466667,9.816433333,0.391966667
15,9.8545,10.185,0.3305,Sound,,15,9.8555,10.193,0.3375,Sound,,15,9.8395,10.193,0.3535,Sound,,9.849833333,10.19033333,0.3405
16,10.185,10.647,0.462,Sound,,16,10.228,10.663,0.435,Sound,,16,10.213,10.655,0.442,Sound,,10.20866667,10.655,0.446333333
17,10.647,11.049,0.402,Sound,,17,10.68,11.064,0.384,Sound,,17,10.675,11.06,0.385,Sound,,10.66733333,11.05766667,0.390333333
18,11.11,11.516,0.406,Sound,,18,11.119,11.396,0.277,Sound,,18,11.15,11.548,0.398,Sound,,11.12633333,11.48666667,0.360333333
19,11.557,11.969,0.412,Sound,,19,11.56,11.968,0.408,Sound,,19,11.568,11.961,0.393,Sound,,11.56166667,11.966,0.404333333
20,11.969,12.37,0.401,Sound,,20,11.999,12.372,0.373,Sound,,20,12.034,12.388,0.354,Sound,,12.00066667,12.37666667,0.376
21,12.914,13.255,0.341,Sound,,21,12.909,13.256,0.347,Sound,,21,12.9,13.259,0.359,Sound,,12.90766667,13.25666667,0.349
22,13.255,13.615,0.36,Sound,,22,13.295,13.642,0.347,Sound,,22,13.279,13.632,0.353,Sound,,13.27633333,13.62966667,0.353333333
23,13.768,14.103,0.335,Sound,,23,13.756,14.12,0.364,Sound,,23,13.762,14.107,0.345,Sound,,13.762,14.11,0.348
24,14.144,14.576,0.432,Sound,,24,14.164,14.564,0.4,Sound,,24,14.167,14.587,0.42,Sound,,14.15833333,14.57566667,0.417333333
25,14.601,14.988,0.387,Sound,,25,14.616,14.985,0.369,Sound,,25,14.668,14.974,0.306,Sound,,14.62833333,14.98233333,0.354
26,15.023,15.41,0.387,Sound,,26,15.02,15.393,0.373,Sound,,26,15.029,15.405,0.376,Sound,,15.024,15.40266667,0.378666667
27,15.41,15.836,0.426,Sound,,27,15.432,15.823,0.391,Sound,,27,15.451,15.809,0.358,Sound,,15.431,15.82266667,0.391666667
28,16.345,16.634,0.289,Sound,,28,16.332,16.643,0.311,Sound,,28,16.344,16.601,0.257,Sound,,16.34033333,16.626,0.285666667
29,16.746,17.163,0.417,Sound,,29,16.731,17.174,0.443,Sound,,29,16.757,17.168,0.411,Sound,,16.74466667,17.16833333,0.423666667
30,17.183,17.565,0.382,Sound,,30,17.192,17.552,0.36,Sound,,30,17.21,17.551,0.341,Sound,,17.195,17.556,0.361
31,17.565,17.93,0.365,Sound,,31,17.574,17.925,0.351,Sound,,31,17.571,17.933,0.362,Sound,,17.57,17.92933333,0.359333333
32,18.037,18.413,0.376,Sound,,32,18.078,18.398,0.32,Sound,,32,18.063,18.422,0.359,Sound,,18.05933333,18.411,0.351666667
33,18.444,18.642,0.198,Sound,,33,18.451,18.679,0.228,Sound,,33,18.464,18.685,0.221,Sound,,18.453,18.66866667,0.215666667
34,18.886,19.176,0.29,Sound,,34,18.85,19.193,0.343,Sound,,34,18.873,19.2,0.327,Sound,,18.86966667,19.18966667,0.32
35,19.704,20.055,0.351,Sound,,35,19.675,20.04,0.365,Sound,,35,19.708,20.062,0.354,Sound,,19.69566667,20.05233333,0.356666667
36,20.101,20.273,0.172,Sound,,36,20.066,20.272,0.206,Sound,,36,20.082,20.286,0.204,Sound,,20.083,20.277,0.194
37,20.477,20.838,0.361,Sound,,37,20.487,20.834,0.347,Sound,,37,20.5,20.845,0.345,Sound,,20.488,20.839,0.351
38,20.893,21.087,0.194,Sound,,38,20.864,21.079,0.215,Sound,,38,20.887,21.087,0.2,Sound,,20.88133333,21.08433333,0.203
39,21.27,21.575,0.305,Sound,,39,21.294,21.584,0.29,Sound,,39,21.261,21.592,0.331,Sound,,21.275,21.58366667,0.308666667
40,21.712,22.017,0.305,Sound,,40,21.707,22.023,0.316,Sound,,40,21.727,22.028,0.301,Sound,,21.71533333,22.02266667,0.307333333
41,22.017,22.459,0.442,Sound,,41,22.154,22.448,0.294,Sound,,41,22.087,22.463,0.376,Sound,,22.086,22.45666667,0.370666667
42,22.871,23.201,0.33,Sound,,42,22.87,23.221,0.351,Sound,,42,22.883,23.206,0.323,Sound,,22.87466667,23.20933333,0.334666667
43,23.297,23.653,0.356,Sound,,43,23.308,23.651,0.343,Sound,,43,23.306,23.655,0.349,Sound,,23.30366667,23.653,0.349333333
44,23.714,24.116,0.402,Sound,,44,23.703,24.111,0.408,Sound,,44,23.75,24.165,0.415,Sound,,23.72233333,24.13066667,0.408333333
45,24.482,24.665,0.183,Sound,,45,24.493,24.717,0.224,Sound,,45,24.484,24.68,0.196,Sound,,24.48633333,24.68733333,0.201
46,24.883,25.061,0.178,Sound,,46,24.884,25.107,0.223,Sound,,46,24.876,25.08,0.204,Sound,,24.881,25.08266667,0.201666667
47,25.29,25.574,0.284,Sound,,47,25.296,25.586,0.29,Sound,,47,25.302,25.608,0.306,Sound,,25.296,25.58933333,0.293333333
