C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man2_butterfly.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,3.1848,3.6049,0.4201,Sound,,1,3.1647,3.6019,0.4372,Sound,,1,3.1669,3.615,0.4481,Sound,,3.172133333,3.607266667,0.435133333
2,3.6682,4.1113,0.4431,Sound,,2,3.6516,4.1136,0.462,Sound,,2,3.6848,4.1228,0.438,Sound,,3.6682,4.1159,0.4477
3,4.1228,5.0377,0.9149,Sound,,3,4.1136,5.0277,0.9141,Sound,,3,4.1628,5.0141,0.8513,Sound,,4.133066667,5.0265,0.893433333
4,5.1183,5.5095,0.3912,Sound,,4,5.0773,5.5344,0.4571,Sound,,4,5.0938,5.527,0.4332,Sound,,5.096466667,5.523633333,0.427166667
5,5.5959,6.0389,0.443,Sound,,5,5.5493,6.0982,0.5489,Sound,,5,5.6167,6.0547,0.438,Sound,,5.5873,6.063933333,0.476633333
6,6.0389,6.5741,0.5352,Sound,,6,6.0982,6.6049,0.5067,Sound,,6,6.0747,6.6025,0.5278,Sound,,6.0706,6.593833333,0.523233333
7,6.9481,7.4085,0.4604,Sound,,7,6.9601,7.4147,0.4546,Sound,,7,6.9859,7.414,0.4281,Sound,,6.9647,7.4124,0.4477
8,7.4602,7.8573,0.3971,Sound,,8,7.4768,7.8543,0.3775,Sound,,8,7.4739,7.897,0.4231,Sound,,7.4703,7.869533333,0.399233333
9,7.9321,8.3521,0.42,Sound,,9,7.909,8.3635,0.4545,Sound,,9,7.9718,8.3551,0.3833,Sound,,7.937633333,8.3569,0.419266667
10,8.3809,8.8297,0.4488,Sound,,10,8.3859,8.8529,0.467,Sound,,10,8.405,8.853,0.448,Sound,,8.3906,8.8452,0.4546
11,8.8297,9.3016,0.4719,Sound,,11,8.8901,9.3298,0.4397,Sound,,11,8.873,9.3211,0.4481,Sound,,8.864266667,9.3175,0.453233333
12,9.3822,9.8367,0.4545,Sound,,12,9.3521,9.839,0.4869,Sound,,12,9.3958,9.8439,0.4481,Sound,,9.3767,9.839866667,0.463166667
13,9.8885,10.366,0.4775,Sound,,13,9.8638,10.388,0.5242,Sound,,13,9.8639,10.372,0.5081,Sound,,9.872066667,10.37533333,0.503266667
14,10.821,11.189,0.368,Sound,,14,10.82,11.208,0.388,Sound,,14,10.845,11.208,0.363,Sound,,10.82866667,11.20166667,0.373
15,11.275,11.713,0.438,Sound,,15,11.262,11.684,0.422,Sound,,15,11.298,11.716,0.418,Sound,,11.27833333,11.70433333,0.426
16,11.753,12.184,0.431,Sound,,16,11.712,12.204,0.492,Sound,,16,11.726,12.204,0.478,Sound,,11.73033333,12.19733333,0.467
