C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man5_butterfly.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,1.2781,1.685,0.4069,Sound,,1,1.2695,1.7086,0.4391,Sound,,1,1.2823,1.6977,0.4154,Sound,,1.276633333,1.6971,0.420466667
2,1.7493,2.1883,0.439,Sound,,2,1.7455,2.1939,0.4484,Sound,,2,1.7733,2.198,0.4247,Sound,,1.756033333,2.1934,0.437366667
3,2.1883,2.8093,0.621,Sound,,3,2.2502,2.7993,0.5491,Sound,,3,2.2783,2.8003,0.522,Sound,,2.238933333,2.802966667,0.564033333
4,3.168,3.6124,0.4444,Sound,,4,3.1737,3.6174,0.4437,Sound,,4,3.1863,3.6249,0.4386,Sound,,3.176,3.618233333,0.442233333
5,3.6391,4.1103,0.4712,Sound,,5,3.6452,4.1582,0.513,Sound,,5,3.6819,4.1345,0.4526,Sound,,3.6554,4.134333333,0.478933333
6,4.137,4.6778,0.5408,Sound,,6,4.186,4.6666,0.4806,Sound,,6,4.2147,4.6904,0.4757,Sound,,4.179233333,4.678266667,0.499033333
7,5.0525,5.529,0.4765,Sound,,7,5.0688,5.531,0.4622,Sound,,7,5.0763,5.5335,0.4572,Sound,,5.065866667,5.531166667,0.4653
8,5.5718,6.0055,0.4337,Sound,,8,5.5849,6.0117,0.4268,Sound,,8,5.5535,6.0014,0.4479,Sound,,5.570066667,6.0062,0.436133333
9,6.0269,6.4873,0.4604,Sound,,9,6.044,6.4877,0.4437,Sound,,9,6.0399,6.4971,0.4572,Sound,,6.036933333,6.4907,0.453766667
10,6.4873,6.9745,0.4872,Sound,,10,6.5201,6.9361,0.416,Sound,,10,6.5171,7.0159,0.4988,Sound,,6.508166667,6.9755,0.467333333
11,6.9745,7.4189,0.4444,Sound,,11,6.9823,7.4491,0.4668,Sound,,11,7.0359,7.4236,0.3877,Sound,,6.997566667,7.430533333,0.432966667
12,7.4563,7.89,0.4337,Sound,,12,7.4815,7.9206,0.4391,Sound,,12,7.4992,7.9007,0.4015,Sound,,7.479,7.903766667,0.424766667
13,7.9168,8.4468,0.53,Sound,,13,7.9206,8.4752,0.5546,Sound,,13,7.9207,8.4474,0.5267,Sound,,7.919366667,8.456466667,0.5371
14,8.8804,9.3516,0.4712,Sound,,14,8.8866,9.3303,0.4437,Sound,,14,8.9029,9.3646,0.4617,Sound,,8.889966667,9.348833333,0.458866667
15,9.3516,9.8174,0.4658,Sound,,15,9.3719,9.811,0.4391,Sound,,15,9.3846,9.8186,0.434,Sound,,9.369366667,9.815666667,0.4463
16,9.8174,10.299,0.4816,Sound,,16,9.8526,10.306,0.4534,Sound,,16,9.8711,10.3,0.4289,Sound,,9.847033333,10.30166667,0.454633333
17,10.331,10.786,0.455,Sound,,17,10.416,10.795,0.379,Sound,,17,10.367,10.787,0.42,Sound,,10.37133333,10.78933333,0.418
18,10.786,11.274,0.488,Sound,,18,10.828,11.272,0.444,Sound,,18,10.844,11.278,0.434,Sound,,10.81933333,11.27466667,0.455333333
19,11.274,11.729,0.455,Sound,,19,11.295,11.729,0.434,Sound,,19,11.298,11.727,0.429,Sound,,11.289,11.72833333,0.439333333
20,11.755,12.301,0.546,Sound,,20,11.748,12.316,0.568,Sound,,20,11.812,12.269,0.457,Sound,,11.77166667,12.29533333,0.523666667
21,12.773,13.163,0.39,Sound,,21,12.76,13.157,0.397,Sound,,21,12.771,13.149,0.378,Sound,,12.768,13.15633333,0.388333333
22,13.201,13.517,0.316,Sound,,22,13.204,13.541,0.337,Sound,,22,13.207,13.539,0.332,Sound,,13.204,13.53233333,0.328333333
23,13.688,14.132,0.444,Sound,,23,13.689,14.105,0.416,Sound,,23,13.693,14.122,0.429,Sound,,13.69,14.11966667,0.429666667
24,14.17,14.614,0.444,Sound,,24,14.146,14.622,0.476,Sound,,24,14.184,14.618,0.434,Sound,,14.16666667,14.618,0.451333333
25,14.652,15.08,0.428,Sound,,25,14.673,15.057,0.384,Sound,,25,14.68,15.067,0.387,Sound,,14.66833333,15.068,0.399666667
26,15.107,15.573,0.466,Sound,,26,15.085,15.579,0.494,Sound,,26,15.152,15.582,0.43,Sound,,15.11466667,15.578,0.463333333
27,15.573,16.14,0.567,Sound,,27,15.607,16.148,0.541,Sound,,27,15.602,16.17,0.568,Sound,,15.594,16.15266667,0.558666667
28,16.579,16.852,0.273,Sound,,28,16.568,16.883,0.315,Sound,,28,16.598,16.86,0.262,Sound,,16.58166667,16.865,0.283333333
29,17.029,17.516,0.487,Sound,,29,17.012,17.525,0.513,Sound,,29,17.042,17.509,0.467,Sound,,17.02766667,17.51666667,0.489
30,17.516,17.939,0.423,Sound,,30,17.525,17.936,0.411,Sound,,30,17.529,17.949,0.42,Sound,,17.52333333,17.94133333,0.418
