C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man5_twinkle.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,1.2961,1.5867,0.2906,Sound,,1,1.3017,1.5817,0.28,Sound,,1,1.3255,1.597,0.2715,Sound,,1.307766667,1.588466667,0.2807
2,1.7594,1.9573,0.1979,Sound,,2,1.778,1.978,0.2,Sound,,2,1.7883,1.9797,0.1914,Sound,,1.775233333,1.971666667,0.196433333
3,2.2395,2.5427,0.3032,Sound,,3,2.2361,2.527,0.2909,Sound,,3,2.2548,2.5773,0.3225,Sound,,2.243466667,2.549,0.305533333
4,2.69,2.9347,0.2447,Sound,,4,2.727,2.956,0.229,Sound,,4,2.7249,2.96,0.2351,Sound,,2.713966667,2.950233333,0.236266667
5,3.2229,3.6308,0.4079,Sound,,5,3.2687,3.6323,0.3636,Sound,,5,3.2497,3.6451,0.3954,Sound,,3.2471,3.636066667,0.388966667
6,3.6906,4.1419,0.4513,Sound,,6,3.7051,4.1268,0.4217,Sound,,6,3.6943,4.1371,0.4428,Sound,,3.696666667,4.135266667,0.4386
7,4.1746,4.7999,0.6253,Sound,,7,4.185,4.7777,0.5927,Sound,,7,4.1899,4.8259,0.636,Sound,,4.183166667,4.801166667,0.618
8,5.1534,5.6591,0.5057,Sound,,8,5.1704,5.6139,0.4435,Sound,,8,5.1593,5.6604,0.5011,Sound,,5.161033333,5.644466667,0.483433333
9,5.6591,6.0996,0.4405,Sound,,9,5.643,6.083,0.44,Sound,,9,5.6804,6.1123,0.4319,Sound,,5.660833333,6.0983,0.437466667
10,6.1376,6.3062,0.1686,Sound,,10,6.1448,6.3084,0.1636,Sound,,10,6.1542,6.3164,0.1622,Sound,,6.145533333,6.310333333,0.1648
11,6.6379,7.0512,0.4133,Sound,,11,6.6429,7.0611,0.4182,Sound,,11,6.6388,7.0634,0.4246,Sound,,6.639866667,7.058566667,0.4187
12,7.0838,7.2687,0.1849,Sound,,12,7.1192,7.2974,0.1782,Sound,,12,7.1162,7.2785,0.1623,Sound,,7.1064,7.281533333,0.175133333
13,7.7092,8.1007,0.3915,Sound,,13,7.7192,8.0646,0.3454,Sound,,13,7.6738,8.0911,0.4173,Sound,,7.700733333,8.085466667,0.384733333
14,8.1007,8.6336,0.5329,Sound,,14,8.1409,8.5773,0.4364,Sound,,14,8.1293,8.594,0.4647,Sound,,8.123633333,8.601633333,0.478
15,9.0632,9.2536,0.1904,Sound,,15,9.0645,9.2463,0.1818,Sound,,15,9.0732,9.2464,0.1732,Sound,,9.066966667,9.248766667,0.1818
16,9.4983,9.6614,0.1631,Sound,,16,9.4953,9.6753,0.18,Sound,,16,9.5433,9.691,0.1477,Sound,,9.5123,9.6759,0.1636
17,10.009,10.483,0.474,Sound,,17,9.9744,10.475,0.5006,Sound,,17,10.003,10.482,0.479,Sound,,9.995466667,10.48,0.484533333
18,10.526,10.956,0.43,Sound,,18,10.533,10.908,0.375,Sound,,18,10.545,10.956,0.411,Sound,,10.53466667,10.94,0.405333333
19,10.956,11.38,0.424,Sound,,19,10.97,11.377,0.407,Sound,,19,10.976,11.371,0.395,Sound,,10.96733333,11.376,0.408666667
20,11.461,11.891,0.43,Sound,,20,11.457,11.901,0.444,Sound,,20,11.46,11.914,0.454,Sound,,11.45933333,11.902,0.442666667
21,11.945,12.473,0.528,Sound,,21,11.937,12.442,0.505,Sound,,21,11.985,12.472,0.487,Sound,,11.95566667,12.46233333,0.506666667
22,12.897,13.169,0.272,Sound,,22,12.871,13.184,0.313,Sound,,22,12.914,13.204,0.29,Sound,,12.894,13.18566667,0.291666667
23,13.381,13.577,0.196,Sound,,23,13.369,13.584,0.215,Sound,,23,13.414,13.601,0.187,Sound,,13.388,13.58733333,0.199333333
24,13.93,14.371,0.441,Sound,,24,13.922,14.38,0.458,Sound,,24,13.946,14.381,0.435,Sound,,13.93266667,14.37733333,0.444666667
25,14.409,14.882,0.473,Sound,,25,14.42,14.878,0.458,Sound,,25,14.434,14.902,0.468,Sound,,14.421,14.88733333,0.466333333
26,14.925,15.317,0.392,Sound,,26,14.915,15.337,0.422,Sound,,26,14.922,15.329,0.407,Sound,,14.92066667,15.32766667,0.407
27,15.388,15.877,0.489,Sound,,27,15.409,15.864,0.455,Sound,,27,15.414,15.864,0.45,Sound,,15.40366667,15.86833333,0.464666667
28,15.915,16.41,0.495,Sound,,28,15.889,16.362,0.473,Sound,,28,15.954,16.375,0.421,Sound,,15.91933333,16.38233333,0.463
29,16.867,17.177,0.31,Sound,,29,16.885,17.147,0.262,Sound,,29,16.872,17.195,0.323,Sound,,16.87466667,17.173,0.298333333
30,17.34,17.552,0.212,Sound,,30,17.333,17.54,0.207,Sound,,30,17.371,17.563,0.192,Sound,,17.348,17.55166667,0.203666667
31,17.818,18.134,0.316,Sound,,31,17.82,18.111,0.291,Sound,,31,17.823,18.149,0.326,Sound,,17.82033333,18.13133333,0.311
32,18.308,18.531,0.223,Sound,,32,18.34,18.536,0.196,Sound,,32,18.333,18.547,0.214,Sound,,18.327,18.538,0.211
33,18.797,19.254,0.457,Sound,,33,18.823,19.242,0.419,Sound,,33,18.803,19.254,0.451,Sound,,18.80766667,19.25,0.442333333
34,19.286,19.732,0.446,Sound,,34,19.289,19.722,0.433,Sound,,34,19.299,19.746,0.447,Sound,,19.29133333,19.73333333,0.442
35,19.776,20.379,0.603,Sound,,35,19.769,20.369,0.6,Sound,,35,19.831,20.38,0.549,Sound,,19.792,20.376,0.584
36,20.782,21.26,0.478,Sound,,36,20.78,21.274,0.494,Sound,,36,20.786,21.287,0.501,Sound,,20.78266667,21.27366667,0.491
37,21.293,21.755,0.462,Sound,,37,21.318,21.758,0.44,Sound,,37,21.307,21.753,0.446,Sound,,21.306,21.75533333,0.449333333
38,21.755,21.94,0.185,Sound,,38,21.772,21.958,0.186,Sound,,38,21.792,21.947,0.155,Sound,,21.773,21.94833333,0.175333333
39,22.245,22.74,0.495,Sound,,39,22.259,22.725,0.466,Sound,,39,22.258,22.737,0.479,Sound,,22.254,22.734,0.48
40,22.79,22.919,0.129,Sound,,40,22.768,22.947,0.179,Sound,,40,22.787,22.934,0.147,Sound,,22.78166667,22.93333333,0.151666667
41,23.327,23.74,0.413,Sound,,41,23.325,23.754,0.429,Sound,,41,23.333,23.769,0.436,Sound,,23.32833333,23.75433333,0.426
42,23.794,24.338,0.544,Sound,,42,23.834,24.35,0.516,Sound,,42,23.789,24.381,0.592,Sound,,23.80566667,24.35633333,0.550666667
