C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\woman2_twinkle.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,3.1103,3.3997,0.2894,Sound,,1,3.023,3.4599,0.4369,Sound,,1,3.0728,3.4105,0.3377,Sound,,3.0687,3.423366667,0.354666667
2,3.6374,3.8854,0.248,Sound,,2,3.5755,3.9822,0.4067,Sound,,2,3.6452,3.9113,0.2661,Sound,,3.619366667,3.9263,0.306933333
3,4.1852,4.4694,0.2842,Sound,,3,4.1329,4.5648,0.4319,Sound,,3,4.1683,4.5284,0.3601,Sound,,4.162133333,4.520866667,0.358733333
4,4.7174,4.9965,0.2791,Sound,,4,4.6552,5.0268,0.3716,Sound,,4,4.7228,5.0069,0.2841,Sound,,4.698466667,5.010066667,0.3116
5,5.2342,5.6941,0.4599,Sound,,5,5.2176,5.6897,0.4721,Sound,,5,5.2371,5.6776,0.4405,Sound,,5.229633333,5.687133333,0.4575
6,5.72,6.2057,0.4857,Sound,,6,5.7449,6.222,0.4771,Sound,,6,5.7558,6.2008,0.445,Sound,,5.740233333,6.2095,0.469266667
7,6.3246,6.8569,0.5323,Sound,,7,6.2823,6.8598,0.5775,Sound,,7,6.2745,6.8581,0.5836,Sound,,6.2938,6.858266667,0.564466667
8,7.4512,7.9369,0.4857,Sound,,8,7.4373,7.9697,0.5324,Sound,,8,7.4281,7.9581,0.53,Sound,,7.438866667,7.9549,0.516033333
9,8.0093,8.464,0.4547,Sound,,9,7.9697,8.4919,0.5222,Sound,,9,7.9781,8.4724,0.4943,Sound,,7.9857,8.4761,0.4904
