C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man6_schoolbell.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,0.4252,0.54853,0.12333,Sound,,1,0.36954,0.57741,0.20787,Sound,,1,0.37521,0.58896,0.21375,Sound,,0.389983333,0.571633333,0.18165
2,0.97135,1.4118,0.44045,Sound,,2,0.96779,1.4393,0.47151,Sound,,2,0.96466,1.4325,0.46784,Sound,,0.967933333,1.427866667,0.459933333
3,1.494,1.9755,0.4815,Sound,,3,1.4951,1.9818,0.4867,Sound,,3,1.4931,1.9813,0.4882,Sound,,1.494066667,1.979533333,0.485466667
4,1.9955,2.4101,0.4146,Sound,,4,2.0274,2.4026,0.3752,Sound,,4,2.0369,2.398,0.3611,Sound,,2.019933333,2.403566667,0.383633333
5,2.5628,2.9739,0.4111,Sound,,5,2.5547,3.011,0.4563,Sound,,5,2.5348,3.0027,0.4679,Sound,,2.550766667,2.995866667,0.4451
6,3.1031,3.52,0.4169,Sound,,6,3.0769,3.5332,0.4563,Sound,,6,3.0684,3.5413,0.4729,Sound,,3.0828,3.5315,0.4487
7,3.6668,4.3422,0.6754,Sound,,7,3.6498,4.3849,0.7351,Sound,,7,3.6477,4.3899,0.7422,Sound,,3.654766667,4.372333333,0.717566667
8,4.7356,5.1702,0.4346,Sound,,8,4.7398,5.1961,0.4563,Sound,,8,4.7453,5.1623,0.417,Sound,,4.740233333,5.1762,0.435966667
9,5.3053,5.7457,0.4404,Sound,,9,5.2873,5.7538,0.4665,Sound,,9,5.289,5.7467,0.4577,Sound,,5.293866667,5.748733333,0.454866667
10,5.8044,6.2801,0.4757,Sound,,10,5.774,6.2506,0.4766,Sound,,10,5.8124,6.2497,0.4373,Sound,,5.796933333,6.260133333,0.4632
11,6.3095,6.7851,0.4756,Sound,,11,6.3469,6.7982,0.4513,Sound,,11,6.3205,6.7884,0.4679,Sound,,6.325633333,6.790566667,0.464933333
12,6.8732,8.1769,1.3037,Sound,,12,6.8894,8.2025,1.3131,Sound,,12,6.8998,8.2061,1.3063,Sound,,6.887466667,8.195166667,1.3077
13,9.0695,9.416,0.3465,Sound,,13,9.0847,9.4447,0.36,Sound,,13,9.0645,9.4206,0.3561,Sound,,9.0729,9.4271,0.3542
14,9.5511,10.044,0.4929,Sound,,14,9.5714,10.038,0.4666,Sound,,14,9.5727,10.071,0.4983,Sound,,9.565066667,10.051,0.485933333
15,10.08,10.579,0.499,Sound,,15,10.083,10.585,0.502,Sound,,15,10.127,10.579,0.452,Sound,,10.09666667,10.581,0.484333333
16,10.608,11.101,0.493,Sound,,16,10.616,11.113,0.497,Sound,,16,10.599,11.143,0.544,Sound,,10.60766667,11.119,0.511333333
17,11.178,11.677,0.499,Sound,,17,11.158,11.65,0.492,Sound,,17,11.189,11.692,0.503,Sound,,11.175,11.673,0.498
18,11.753,12.211,0.458,Sound,,18,11.721,12.243,0.522,Sound,,18,11.753,12.226,0.473,Sound,,11.74233333,12.22666667,0.484333333
19,12.258,12.84,0.582,Sound,,19,12.248,12.847,0.599,Sound,,19,12.271,12.871,0.6,Sound,,12.259,12.85266667,0.593666667
20,13.327,13.773,0.446,Sound,,20,13.328,13.79,0.462,Sound,,20,13.297,13.78,0.483,Sound,,13.31733333,13.781,0.463666667
21,13.844,14.325,0.481,Sound,,21,13.84,14.327,0.487,Sound,,21,13.836,14.334,0.498,Sound,,13.84,14.32866667,0.488666667
22,14.325,14.789,0.464,Sound,,22,14.347,14.788,0.441,Sound,,22,14.354,14.792,0.438,Sound,,14.342,14.78966667,0.447666667
23,14.895,15.341,0.446,Sound,,23,14.9,15.351,0.451,Sound,,23,14.918,15.356,0.438,Sound,,14.90433333,15.34933333,0.445
24,15.424,16.569,1.145,Sound,,24,15.381,16.588,1.207,Sound,,24,15.376,16.606,1.23,Sound,,15.39366667,16.58766667,1.194
25,17.567,17.726,0.159,Sound,,25,17.567,17.739,0.172,Sound,,25,17.566,17.749,0.183,Sound,,17.56666667,17.738,0.171333333
26,18.101,18.524,0.423,Sound,,26,18.053,18.52,0.467,Sound,,26,18.064,18.542,0.478,Sound,,18.07266667,18.52866667,0.456
27,18.601,19.053,0.452,Sound,,27,18.631,19.032,0.401,Sound,,27,18.618,19.055,0.437,Sound,,18.61666667,19.04666667,0.43
28,19.082,19.482,0.4,Sound,,28,19.098,19.503,0.405,Sound,,28,19.136,19.477,0.341,Sound,,19.10533333,19.48733333,0.382
