C:\Users\BFaghih\OneDrive - Maynooth University\My PhD\Real-time onset offset detection study\Datasets\SVNote1\annotation\txt\dooyong\man3_butterfly.txt,,,,,,,,,,,,,,,,,,,,
SVNote1,,,,,,,,,,,,,,,,,,,,
Vocal,,,,,,,,,,,,,,,,,,,,
Solo,,,,,,,,,,,,,,,,,,,,
Traditional,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Sequence,Start time,End time,Duration,Type,,Start time,End time,Duration
1,1.4817,1.9423,0.4606,Sound,,1,1.4135,1.9727,0.5592,Sound,,1,1.437,1.9538,0.5168,Sound,,1.444066667,1.956266667,0.5122
2,2.0037,2.4889,0.4852,Sound,,2,2.1084,2.5481,0.4397,Sound,,2,2.0322,2.5064,0.4742,Sound,,2.0481,2.514466667,0.466366667
3,2.5319,3.4101,0.8782,Sound,,3,2.5481,3.3842,0.8361,Sound,,3,2.5264,3.3992,0.8728,Sound,,2.535466667,3.397833333,0.862366667
4,3.6374,4.1532,0.5158,Sound,,4,3.6176,4.1768,0.5592,Sound,,4,3.6424,4.1698,0.5274,Sound,,3.632466667,4.1666,0.534133333
5,4.2147,4.6876,0.4729,Sound,,5,4.204,4.7143,0.5103,Sound,,5,4.2429,4.6853,0.4424,Sound,,4.220533333,4.695733333,0.4752
6,4.7244,5.3693,0.6449,Sound,,6,4.7143,5.3603,0.646,Sound,,6,4.7265,5.3602,0.6337,Sound,,4.721733333,5.363266667,0.641533333
7,5.8176,6.2966,0.479,Sound,,7,5.8218,6.3104,0.4886,Sound,,7,5.8319,6.3114,0.4795,Sound,,5.823766667,6.306133333,0.482366667
8,6.3458,6.8371,0.4913,Sound,,8,6.3375,6.8261,0.4886,Sound,,8,6.358,6.8269,0.4689,Sound,,6.3471,6.830033333,0.482933333
9,6.8371,7.3468,0.5097,Sound,,9,6.8641,7.3419,0.4778,Sound,,9,6.8788,7.353,0.4742,Sound,,6.86,7.347233333,0.487233333
10,7.3468,7.7583,0.4115,Sound,,10,7.3663,7.7979,0.4316,Sound,,10,7.373,7.7835,0.4105,Sound,,7.362033333,7.7799,0.417866667
11,7.8259,8.3233,0.4974,Sound,,11,7.8495,8.3489,0.4994,Sound,,11,7.8672,8.3468,0.4796,Sound,,7.847533333,8.339666667,0.492133333
12,8.3848,8.9006,0.5158,Sound,,12,8.3706,8.9407,0.5701,Sound,,12,8.3934,8.9154,0.522,Sound,,8.382933333,8.9189,0.535966667
13,8.9006,9.5946,0.694,Sound,,13,8.9407,9.5921,0.6514,Sound,,13,8.9354,9.5956,0.6602,Sound,,8.925566667,9.5941,0.668533333
14,10.055,10.528,0.473,Sound,,14,10.04,10.523,0.483,Sound,,14,10.057,10.526,0.469,Sound,,10.05066667,10.52566667,0.475
15,10.528,10.995,0.467,Sound,,15,10.561,10.973,0.412,Sound,,15,10.578,11.015,0.437,Sound,,10.55566667,10.99433333,0.438666667
16,11.044,11.535,0.491,Sound,,16,11.023,11.533,0.51,Sound,,16,11.061,11.535,0.474,Sound,,11.04266667,11.53433333,0.491666667
17,11.535,12.076,0.541,Sound,,17,11.576,11.989,0.413,Sound,,17,11.582,12.056,0.474,Sound,,11.56433333,12.04033333,0.476
18,12.113,12.573,0.46,Sound,,18,12.043,12.364,0.321,Sound,,18,12.129,12.598,0.469,Sound,,12.095,12.51166667,0.416666667
19,12.629,13.058,0.429,Sound,,19,12.613,13.075,0.462,Sound,,19,12.618,13.071,0.453,Sound,,12.62,13.068,0.448
20,13.101,13.685,0.584,Sound,,20,13.096,13.721,0.625,Sound,,20,13.123,13.719,0.596,Sound,,13.10666667,13.70833333,0.601666667
21,14.299,14.796,0.497,Sound,,21,14.291,14.747,0.456,Sound,,21,14.287,14.793,0.506,Sound,,14.29233333,14.77866667,0.486333333
22,14.796,15.177,0.381,Sound,,22,14.834,15.165,0.331,Sound,,22,14.813,15.192,0.379,Sound,,14.81433333,15.178,0.363666667
23,15.368,15.871,0.503,Sound,,23,15.377,15.833,0.456,Sound,,23,15.366,15.845,0.479,Sound,,15.37033333,15.84966667,0.479333333
24,15.908,16.35,0.442,Sound,,24,15.876,16.354,0.478,Sound,,24,15.913,16.382,0.469,Sound,,15.899,16.362,0.463
25,16.399,16.878,0.479,Sound,,25,16.435,16.859,0.424,Sound,,25,16.455,16.876,0.421,Sound,,16.42966667,16.871,0.441333333
